rotationRate.x,rotationRate.y,rotationRate.z,userAcceleration.x,userAcceleration.y,userAcceleration.z,class
-0.06370452,0.11664035,0.59522706,-0.7783999999999995,0.6489,0.2748999999999995,walking
0.08527679,0.35564575,0.4810651,-1.0391999999999997,0.6498999599999999,-0.10499999999999951,walking
0.30040607,0.48404962,0.43669882,-1.4854,0.5304,-1.2422,walking
0.69968504,0.5678603,0.38967967,-0.7167999999999999,0.76809996,-1.1337,walking
1.1720583,0.67497116,0.2592163,-0.9763999599999995,-0.32259998,-1.0352999999999999,walking
1.6868083,0.8156098,0.12754866,-1.7235,-1.2959,-1.6213,walking
2.224998,0.85213953,0.06080727,-1.8897999999999995,1.1291,-1.8420999,walking
2.593088,0.8055742,-0.0752586,-2.5139,2.7926998,-1.3630999,walking
2.783521,0.6098704,-0.28799677,-2.0529999999999995,2.1962,-0.9898,walking
2.5920408,0.2501755,-0.5729567,-2.3765,1.5143,-1.3891999999999998,walking
2.2841647,0.21928316,-0.87303114,-1.9260999,1.9741999,-0.6077,walking
2.0817938,0.37234855,-1.0614569,-0.9036,2.3862997999999997,-0.0313999999999995,walking
2.0642881,0.62992424,-1.0864326,-0.049,0.9855,0.44229999999999997,walking
1.9481889,0.7830245,-1.040094,1.084,-0.1741999999999995,0.84309995,walking
1.927559,0.68477994,-1.0296047,1.7262,-0.9385,0.55829996,walking
1.9445586,1.0800097,-0.9243613,2.0637998999999994,-0.6161999999999995,-0.2104,walking
1.9334757,1.2750154,-0.91783375,1.7084999,1.1,-0.3958,walking
1.8077422,1.5110886,-0.9086533,1.1452999,3.0746999,0.09609999499999951,walking
1.6993747,1.7815623,-0.92444855,0.48029997999999996,3.3181999,0.8858,walking
1.5286117,1.9048524,-0.88509136,-0.16770000000000002,2.2488999999999995,1.1768,walking
1.2994848,1.8518467,-0.84189445,0.024399999999999998,1.169,1.309,walking
1.0025171,1.6471894,-0.7375761,0.62729996,0.4552,2.3499999999999996,walking
0.65715134,1.3891424,-0.61152846,-0.22499999999999998,-0.15779999,2.4575,walking
0.32960543,1.200228,-0.4497888,0.1383,-0.5473,1.5389,walking
0.059306286,0.96967,-0.38728857,0.5237,-0.7181,2.4068,walking
-0.20703095,0.80370665,-0.23858652,1.179,-0.8379000000000001,2.0991999999999997,walking
-0.47727773,0.67957884,-0.114545956,1.2401,-1.1279999999999997,2.1103,walking
-0.70790553,0.6277251,-0.039235003,1.7317,-1.3577,1.8241999,walking
-0.8233591,0.6404835,-0.022689281,1.6760999999999995,-2.3255999999999997,1.7656,walking
-0.9082868,0.7330557,-0.009354965,1.6524999,-2.8297,1.7415998999999998,walking
-0.8873254,0.67816514,0.02029818,1.7257999,-2.8776,1.9036,walking
-0.73487085,0.5346816,0.07199483,2.0727,-2.6641,1.1589,walking
-0.43378413,0.5282937,0.12020083,0.9625,-3.5763998,1.254,walking
0.027419122,0.47865656,0.06421066,0.9443,-3.2208997999999998,0.9245000000000001,walking
0.4518832,0.5925742,-0.061837014,1.0371,-2.4113997999999994,0.5121,walking
0.45406485,0.7408923,-0.21322687,0.7707999999999999,-1.3391999999999995,0.25669998,walking
0.067282446,0.7050781,-0.3103719,0.1925,-0.42139998,-0.1913999899999995,walking
-0.50216615,0.6560518,-0.3299894,0.0109,0.3416,-0.7438,walking
-0.9697922,0.41446334,-0.18320721,0.27629998,0.8663,-1.4176998999999997,walking
-0.90931654,0.19451694,0.05787512,1.2138,2.076,-2.3878,walking
0.039671335,-0.10775663,0.02979277,1.8686998999999995,3.3541,-1.4928999999999994,walking
-0.2091777,-1.4222339,-0.18858282,2.6048,3.3286998,-1.2928000000000002,walking
-1.2057607,-1.8766652,-0.23157029,1.0928,0.48919999999999997,-1.7586,walking
-1.6220741,-1.0521194,0.027907815,0.62,-1.9171,-2.1305999999999994,walking
-1.6401033,-1.2449085,0.13981833,1.3908999999999998,-1.5489998999999999,-1.4907998999999998,walking
-1.6054237,-1.4505955,-0.025516713,2.0033998,1.4147999,-0.55799997,walking
-1.4461449,-1.1658624,-0.2692694,2.2331998,5.6731,1.8697999999999995,walking
-1.4518173,-0.7991863,-0.41973424,1.6782,6.2651,2.3255999999999997,walking
-1.3427866,-0.37877136,-0.23963371,1.6427,-1.2328999999999999,-0.7984,walking
-1.3292776,-0.30784118,0.033789575,2.4659,-6.1184998,4.798299999999999,walking
-1.3317037,-0.8931199,0.13943435,0.3602,-4.6408997,5.5418,walking
-1.2761848,-1.0347883,0.24778439,-1.5676,0.5597999699999999,3.0805,walking
-1.196109,-1.0115579,0.3031986,-2.2732999999999994,3.9088000000000003,4.8919996999999995,walking
-1.1956029,-0.9455147,0.20977113,-1.5028999999999995,2.9496999,4.2149997,walking
-1.1845549,-0.94174474,0.10955431,-1.0124,0.095,3.9129999,walking
-1.1125951,-0.70520025,0.069690995,-0.8151999999999999,-1.8435999,3.1527998000000004,walking
-1.0102664,-0.6124884,0.0090582585,0.2589,-2.225,1.4491,walking
-0.93823665,-0.6431887,-0.0251851,1.2264,-1.7127998999999998,0.64879996,walking
-0.87854636,-0.6698574,-0.05560619,0.6328,-1.1234999999999995,1.6070000000000002,walking
-0.8156796,-0.7505963,-0.020594886,0.34109998,-0.3083,1.5465,walking
-0.73436475,-0.82875216,0.006562438,-0.17270000000000002,-0.1994,1.1093999,walking
-0.7283608,-0.82330674,0.12746139,-1.0098,-0.332,1.1106,walking
-0.8338834,-0.8221024,0.20390682,-1.3961999999999999,-0.3378,0.82549995,walking
-0.9240122,-0.8561189,0.2825688,-1.5357,-0.251,-0.037699997,walking
-0.9089849,-0.8056265,0.39240238,-0.8816999999999999,0.0663,-0.5571,walking
-0.8202873,-0.754628,0.4385838,-0.566,-0.0632,-0.8055999999999995,walking
-0.669805,-0.7640179,0.4556531,-0.8336,-0.5717999999999995,-0.91999996,walking
-0.49794245,-0.7882779,0.42917645,-0.4544,-0.7834999600000001,-0.9098,walking
-0.42203808,-0.73178166,0.29185396,-0.5047,-1.5222,-0.6026,walking
-0.3371976,-0.8724901,0.08635889,-0.39429998,-1.6592000000000002,-0.048100000000000004,walking
-0.10538298,-1.0549468,0.04462807,-0.46769997,-1.1735999999999995,0.6828999999999995,walking
0.25213027,-1.0363591,0.16805775,-0.3536,-0.39769998,0.6922,walking
0.8202,-0.8828573,0.31981415,-0.3114,0.2068,0.6369,walking
1.5961035,-0.4414636,0.40863395,-0.72999996,1.0983,0.5416,walking
2.4771807,0.15083136,0.40968114,-1.3294000000000001,2.2442,0.2622999799999995,walking
3.0094364,0.6052453,0.2168397,-1.2678,3.0435,-1.1074999999999995,walking
3.3669496,0.53784066,-0.11334168,-1.2077,3.0147000000000004,-2.4505,walking
3.2515135,0.35599482,-0.33239797,-1.3772000000000002,2.6058,-2.9859998,walking
2.8696353,0.055222217,-0.48000044,-2.4988,2.3552999999999997,-2.802,walking
2.4743707,-0.33180454,-0.69422215,-3.5512998,2.7826,-1.5753999999999997,walking
2.361186,-0.20395918,-0.8879886,-3.4241,3.4824997999999994,0.5101,walking
2.2136884,0.2592512,-0.988921,-2.6592999,3.159,1.8626,walking
2.219186,0.5152561,-0.964626,-0.43389999999999995,1.7908,1.8955,walking
2.3111825,0.86241955,-0.6951646,1.3946999,-0.014499999999999999,1.8752998999999995,walking
2.3245866,1.233686,-0.38287288,2.1924,-0.283,1.3155000000000001,walking
2.141362,1.5137764,-0.23837706,3.1956,2.7178000000000004,-1.3163998999999995,walking
1.8722845,1.5813206,-0.22842869,3.1404998,5.2208,-1.2055,walking
1.5968715,1.407224,-0.37261033,2.2284,4.7939997000000005,1.2710999,walking
1.2227777,1.3622469,-0.52719414,1.4374,2.0463998,3.3578,walking
0.7556752,1.2903394,-0.5847726,0.6622,-0.2276,4.0738997,walking
0.1964019,1.0514038,-0.5902355,-0.5815,-1.9753,3.8376,walking
-0.3806912,0.72738343,-0.591527,-0.4306,-2.3964998999999994,3.4701998,walking
-0.85114473,0.4880115,-0.5842664,0.0468,-2.4308999,2.1215,walking
-1.2406149,0.37589157,-0.54171526,0.7479,-1.865,2.4424999,walking
-1.4620798,0.3061482,-0.46970302,1.2437,-1.6847999,2.7349999999999994,walking
-1.5355232,0.2465103,-0.24541074,1.3695999,-2.4970999,3.0642000000000005,walking
-1.454732,0.30822515,0.090425506,1.591,-3.3734,2.7359998,walking
