rotationRate.x,rotationRate.y,rotationRate.z,userAcceleration.x,userAcceleration.y,userAcceleration.z,class
0.091420346,-0.055361844,0.016475908,-0.00268,-0.01734,0.04118,standing
0.12322024,-0.15275122,0.013508848,0.0074999996,-0.0115399994,0.0087,standing
0.13480922,-0.24218188,0.0018849556,-0.031039998000000003,-0.048819997999999996,0.030679998000000003,standing
0.12786282,-0.29942868,-0.015498524,-0.043480000000000005,-0.04482,0.0442,standing
0.112678454,-0.33112386,-0.030298916,-0.05944000000000001,-0.031,0.067539996,standing
0.106081114,-0.3826809,-0.023282692,-0.0811,-0.03478,0.077,standing
0.097284652,-0.4140968,-0.011623893,-0.06911999599999999,-0.036559999999999995,0.06674,standing
0.081053094,-0.3969577,0.0089709926,-0.04324,-0.03442,0.062119996,standing
0.071488686,-0.38414696,0.019861848,-0.01722,-0.0126,0.04906,standing
0.06436774,-0.34861208,0.017139133,-0.0012000000000000001,-0.008459999999999999,0.040100000000000004,standing
0.056758106,-0.30613074,0.0018849556,-0.007000000000000001,-0.018099999999999998,0.03716,standing
0.034697146,-0.27827528,-0.0080285146,0.004559999800000001,-0.0219,0.020899999199999998,standing
0.023247786,-0.25356144,-0.007958702,0.01236,-0.0218,0.03038,standing
0.0156032434,-0.24305456,-0.001012291,0.02426,-0.03344,0.034019998,standing
0.0045029494,-0.22123794,0.0055850534,0.05014,-0.0195599988,0.034039998,standing
-0.0069464106,-0.17578956,0.0095294974,0.058419995999999995,-0.011600000000000001,0.02642,standing
-0.016196656,-0.13226106,0.00055850536,0.06448000000000001,-0.007580000000000001,0.01494,standing
-0.029007372,-0.07679449,-0.0105766952,0.044619998,-0.0134,0.0173,standing
-0.044087016,-0.0138230072,-0.010681415,0.0186799988,-0.023200000000000002,0.02012,standing
-0.05766568,0.037524578,-0.0041538836,0.0103,-0.02518,0.011260000000000001,standing
-0.0646819,0.08450884,0.002024582,0.0177999988,-0.02518,0.010499999999999999,standing
-0.062517696,0.10890854,0.0120078652,0.03908,-0.0094799996,0.0119799994,standing
-0.05466371,0.116029486,0.016790068,0.052500000000000005,-0.00166,0.00972,standing
-0.059131756,0.12719959,0.013124876,0.04016,-0.011519999999999999,0.00766,standing
-0.055920348,0.119345612,0.0029321532,0.02366,-0.02534,-0.006019999999999999,standing
-0.05050983,0.086323984,-0.001850049,0.01892,-0.029360000000000004,-0.01348,standing
-0.031520646,0.041503928,-0.0014660766,0.0045399998,-0.031399998,-0.014799999999999999,standing
-0.022095868,0.008237954,0.0056897732,-0.0077,-0.037379998,-0.0022799998,standing
-0.0090058986,-0.0149749248,0.009704031,-0.0079399996,-0.02762,0.0062,standing
0.00090757122,-0.03361504,0.018360864,-0.01784,-0.019819999999999997,0.004759999799999999,standing
0.0135437548,-0.057316612,0.0105766952,-0.023779998,-0.019839999,0.0053799998,standing
0.018779744,-0.07309439,0.005794493,-0.027879998,-0.029699999999999997,0.00792,standing
0.019093902,-0.08925614,0.0084823,-0.031939998,-0.035619998,0.0123799994,standing
0.02370157,-0.099902644,0.0102974428,-0.029999998,-0.0376,0.022439999999999998,standing
0.02932153,-0.10168288,0.010157816,-0.0219599992,-0.02974,0.022559999,standing
0.03790855,-0.08964011,0.0102974428,-0.0099,-0.029699999999999997,0.016579999,standing
0.028588492,-0.06611307,0.0089011788,0.0042999998,-0.02572,-0.00716,standing
0.0151145514,-0.03536037,0.0082030474,0.010499999999999999,-0.01978,-0.01734,standing
0.004607669,-0.018046705,0.0118333324,0.014660000000000001,-0.02366,-0.027519998,standing
0.0095294974,-0.00171042268,0.0149400188,0.016839999,-0.025599998000000002,-0.0219,standing
0.018011798,0.0057595866,0.016580628,0.01908,-0.02556,-0.0241599992,standing
0.020141098,0.007993608,0.019861848,0.02716,-0.021599999,-0.026500000000000003,standing
0.025342182,-0.0004886922,0.020525072,0.021419999000000002,-0.0196,-0.021079999199999998,standing
0.029914944,-0.020699606,0.0156032434,0.021560000000000003,-0.013679999200000001,-0.0195,standing
0.025307274,-0.029705504,0.012636184,0.015699999,-0.0195599988,-0.0098,standing
0.019373154,-0.03769911,0.0036651914,0.0079399996,-0.029360000000000004,-0.0019199998999999998,standing
0.014870205,-0.050544736,0.008237954,0.00023999998,-0.027379999999999998,0.0038399997999999996,standing
0.0156032434,-0.052708942,0.0045727626,-0.0034399998000000003,-0.027339997999999997,0.0094,standing
0.01616175,-0.043877576,0.0045029494,-0.00708,-0.0273,0.0070599996,standing
0.011658799,-0.026633724,0.006562438,-0.00866,-0.0233,0.006560000000000001,standing
0.0095294974,-0.017907078,0.0089011788,-0.0083399996,-0.0213,0.00404,standing
0.0069464106,-0.0086917392,0.007958702,-0.013919999999999998,-0.021239999000000002,-0.00422,standing
0.00816814,-0.0091455252,0.0046774824,-0.00786,-0.023179999,-0.00648,standing
0.011693706,-0.010716322,0.0029670596,-0.0016999998999999999,-0.02706,-0.0027400000000000002,standing
0.009564404,-0.0137182874,0.0033161256,0.0023799998,-0.0230999992,0.0068399996000000005,standing
0.016406094,-0.0123918374,0.0024085544,-0.0033,-0.0230799988,-0.00123999994,standing
0.025167648,-0.018256144,0.00059341196,-0.00113999992,-0.026979999999999997,-0.0033599999999999997,standing
0.031660274,-0.016022124,-0.00038397242,-0.0009,-0.02302,-0.0054800000000000005,standing
0.02666863,-0.020455258,-0.00059341196,-0.00458,-0.02496,-0.0036199998,standing
0.02942625,-0.033056534,-0.0009773844,-0.006379999999999999,-0.02298,0.00016,standing
0.040142574,-0.032498032,-0.0034557518,-0.0042799998,-0.024919998,0.0038599998000000005,standing
0.039793506,-0.026005406,3.4906584e-05,-0.00414,-0.02488,0.0036999999999999997,standing
0.03885103,-0.02719223,0.0,-0.004,-0.028779998,0.00534,standing
0.036163222,-0.03721042,0.0023387412,-0.0058599998,-0.02286,-0.001,standing
0.043179444,-0.054628804,0.00076794484,-0.0018599999999999999,-0.0208799988,-0.00162,standing
0.044540804,-0.0630762,-0.002024582,-0.0057,-0.03066,0.0037400000000000003,standing
0.047682394,-0.039374628,-0.0032463124,-0.01148,-0.02474,0.0051599998000000005,standing
0.046984262,-0.022026054,-0.0025481808,-0.0074999996,-0.026659998,0.004399999999999999,standing
0.046949356,-0.022689281,0.00160570292,-0.0093399994,-0.026619999999999998,0.0016799999999999999,standing
0.050335296,-0.026005406,-0.0007330383,-0.0092,-0.0245999992,-0.001,standing
0.051347588,-0.021537364,0.00076794484,0.00075999996,-0.02652,-0.00558,standing
0.061261058,-0.029775318,0.0033161256,0.00286,-0.026479997999999998,-0.00044,standing
0.07564257,-0.05466371,0.009250245,0.008799999999999999,-0.024479998,-0.0012000000000000001,standing
0.080983274,-0.058957222,0.005969026,0.0029199998000000002,-0.028360000000000003,-0.00019999998,standing
0.07993608,-0.051871184,0.0076794484,0.0029199998000000002,-0.02048,-0.001,standing
0.08894198,-0.063599796,0.008796459,-0.00286,-0.026319998,0.00594,standing
0.083601274,-0.081716314,0.0022340214,-0.0126,-0.026279999999999998,0.0068799994000000005,standing
0.076375612,-0.08265879,0.006981317,-0.00466,-0.028199999999999996,0.009859999999999999,standing
