rotationRate.x,rotationRate.y,rotationRate.z,userAcceleration.x,userAcceleration.y,userAcceleration.z,class
-0.14901622,0.060248766,1.036167,-0.32073998000000004,0.5034799999999999,-0.49973999999999996,upstairs
0.29185396,-0.44362778,0.72633624,-0.31039998,0.56618,-0.45596,upstairs
-0.2279051,-1.01941192,0.815732,-0.38574,0.5315000000000001,-0.3705,upstairs
-0.57683134,0.89336426,1.3714798,-0.27749998,0.52753996,-0.36669998000000004,upstairs
-1.2851558,3.2148266,1.4608406,-0.26048,0.52278,-0.29325999999999997,upstairs
-2.4790656,2.5203252,1.38219606,-0.21046,0.50703998,-0.19,upstairs
-3.286036,3.4456288,2.5634348,-0.06717999599999999,0.42767996,-0.12666,upstairs
-3.8852776,2.335111,3.106756,0.2031,0.37803998,0.30956,upstairs
-3.6539514,2.3819556,3.121312,0.17851999999999998,-0.0511,0.48258,upstairs
-3.9453866,3.3307166,2.923601,0.46396,0.05584,-0.03762,upstairs
-4.175037,4.3448926,2.881399,0.15866,-0.043379997999999996,0.37159998,upstairs
-4.283038,4.997087,2.8195794,1.0364200000000001,-0.17342,-0.34412,upstairs
-4.1305314,4.5038224,2.4911084,0.51946,-0.53905998,0.8323600000000001,upstairs
-4.3485928,5.0338088,2.4493254,-0.8621399999999999,-1.0427999399999999,0.9113,upstairs
-4.853656,4.9218282,2.3179368,0.24744000000000002,-0.91328,-0.56401996,upstairs
-5.0686106,3.6479128,2.0386494,0.20444,-0.61032,-0.0171199992,upstairs
-4.743421,2.032436,1.4136818,0.127539992,-0.57742,0.04166,upstairs
-4.5707732,1.92834448,1.01843452,-0.50032,-0.71271996,-0.10647999999999999,upstairs
-4.5983142,2.8450614,1.01257026,-0.6744,-0.60592,-0.45208000000000004,upstairs
-4.629032,3.2188408,0.97787308,-0.32761998000000003,-0.50632,-0.18449999,upstairs
-4.4853564,2.8628984,0.9075014,-0.17215999399999998,-0.39067998,-0.21762,upstairs
-4.311068,2.6569148,0.7332826,-0.034899998,-0.12688,-0.50948,upstairs
-3.97209,3.11639,0.51089274,-0.22073998,0.07298,-0.60355998,upstairs
-3.6644934,3.6590826,0.6569768,-0.25778,0.199879992,-0.23148,upstairs
-3.138067,3.2425426,0.85290748,-0.40362,0.1787,-0.0235399992,upstairs
-2.1854662,2.0177402,0.5017822,-0.37208,0.184719992,0.058399999999999994,upstairs
-0.99752546,0.062168628,-0.15861552,-0.26125998,0.2985,-0.2496,upstairs
-0.48356092,-0.37252306,-0.9377654,-0.11222000000000001,0.37717998,-0.22814,upstairs
-1.1130314,1.17596794,-0.70888292,0.06939999999999999,0.51061998,0.026479997999999998,upstairs
-1.7810038,1.97236168,-0.40142572,0.20256,0.45924,0.28769998,upstairs
-1.7968514,0.71383966,-0.4977679,-0.08896,0.14336,0.28899998,upstairs
-1.56692172,-0.41601666,-0.53574628,0.042659998,0.125319994,0.18806,upstairs
-1.94785726,0.241134688,-0.42125266,0.45352,0.180839992,0.22791998000000002,upstairs
-2.0494006,1.05142128,-0.3976558,0.69184,0.37902,0.47190000000000004,upstairs
-1.794757,1.2500397,-0.5619262,0.1377,0.26824,0.69245996,upstairs
-1.0150137,1.1467162,-0.80505056,-0.39861998,0.120719994,0.47173999999999994,upstairs
0.032707472,0.383379,-1.0321178,-0.7188399999999999,-0.01502,-0.0424,upstairs
2.1320594,1.2710884,-1.227874,-0.76804,-0.135879994,-0.31524,upstairs
3.1008218,-0.088348568,-0.96782,-0.51334,-0.0493,-0.0071400000000000005,upstairs
4.2891464,-2.4541076,-0.9415702,-0.25314000000000003,-0.29078,0.11614,upstairs
7.1250272,-4.452544,-1.2401262,0.07252,-0.7038599999999999,0.21311998000000001,upstairs
10.0110692,-6.9349608,-1.9730248,0.32487998,-1.05703992,0.25172,upstairs
9.4470834,-5.7327084,-2.6730066,0.11032,-1.7831800000000002,0.23228,upstairs
5.425251,3.0802618,-0.7857123,-0.030699998,-1.72776,0.76201996,upstairs
3.9307606,3.3870208,0.88135636,0.34087999999999996,-1.41946,0.76078,upstairs
6.460336,-0.5270196,0.55040706,0.45211998,-1.00196,0.131999994,upstairs
8.7029448,-5.025536,0.004363323,0.24306,-0.45912,1.24126,upstairs
9.2996026,-9.7193194,-0.49539426,0.03154,-0.44386000000000003,2.1041,upstairs
9.4446744,-7.377367,-0.98153824,0.022739999,-0.72915998,2.1578998,upstairs
8.111103,-2.9614048,-1.6930392,-0.41092000000000006,-0.8545,1.48317996,upstairs
8.173062,-2.8876472,-1.6495106,-1.2853999999999999,-1.5862599400000001,-0.26446000000000003,upstairs
7.9498,-5.025222,-1.72581648,-0.84894,-0.8780399400000001,-1.73158,upstairs
5.8361368,-3.8344186,-1.97543346,-0.27075998,-0.42125998,-1.36776,upstairs
4.4945716,-4.1988782,-2.0681452,0.18288,-0.5901799600000001,-1.7939998,upstairs
3.1522042,-3.4094658,-2.2333582,0.4974,-0.47455998,-0.72124,upstairs
1.8292098,-2.6715404,-1.90464294,0.66001996,-0.42384000000000005,1.0546200000000001,upstairs
0.8024326,-2.123961,-1.0534458,0.41373996,-0.42311997999999995,-0.41028000000000003,upstairs
0.003630285,-1.3502566,-0.088662728,-0.22469999999999998,-0.20592000000000002,-1.07396,upstairs
-0.48265334,-0.28208012,0.7712261,-0.6404,0.18138,-1.27439994,upstairs
-0.9638406,0.47431066,1.579488,-0.7036800000000001,0.71296,-1.29696,upstairs
-1.58004654,0.36802012,2.5211282,-0.27236,1.31366,-1.7517800000000001,upstairs
-2.3565088,1.0056238,3.2989864,-0.29592,1.16774,-1.366,upstairs
-2.9723656,2.315703,3.3852756,-0.45692000000000005,0.7623599999999999,-1.37736,upstairs
-1.4193716,5.0627466,1.8898774,-0.5611200000000001,0.5270400000000001,-1.23161994,upstairs
-3.6320302,-1.9612614,1.21230566,-0.52544,0.5583400000000001,-1.0844200000000002,upstairs
-3.5134874,0.85782934,2.1629166,-0.37582,0.52409996,-0.68691998,upstairs
-5.3861208,8.1718406,5.2130194,-0.38934,0.23278,-0.26424,upstairs
-3.829043,-0.20193459,4.5047298,-0.47269997999999996,0.14645999999999998,0.22982,upstairs
-4.2967214,2.490096,3.7353186,-0.47595995999999996,0.2325,0.11306000000000001,upstairs
-4.201147,4.262338,3.652695,0.1476,0.41454,0.0200199992,upstairs
-4.5233,4.0133496,3.1949648,1.8307998,-0.20396,1.7440197999999998,upstairs
-4.847408,3.5246226,2.8400696,1.5947599399999999,-1.71062,0.0025399999999999997,upstairs
-5.0266876,3.5667548,2.0315282,-2.72466,-1.82026,2.06588,upstairs
-5.0170536,3.4529944,0.9467364,-1.09822,-0.6588999799999999,-1.83508,upstairs
-4.8217864,2.4790656,0.13826498,1.3387600000000002,-0.3776,-0.9923400000000001,upstairs
-4.6410746,1.66305446,-0.058712878,-0.23432,-0.39692,0.38234,upstairs
-4.6157326,1.5013322,0.1351932,-0.76152,-0.47427998000000005,-0.37761998,upstairs
-4.5989428,1.7135294,0.18584266,-0.25432,-0.5690999999999999,-0.58947998,upstairs
-4.4165906,2.4253792,0.085800386,0.40134,-0.46935998,-0.47622,upstairs
-3.969961,2.394103,0.15013322,0.57967996,-0.058679999999999996,-0.26216,upstairs
-3.6178232,3.0785164,0.16636479,0.35008,0.16694,-0.5091799800000001,upstairs
-3.4192746,4.0032268,0.03281219,0.0183,0.15358,-0.5673,upstairs
-3.3554652,4.180622,0.43430772,-0.30328,-0.034579998,-0.40990000000000004,upstairs
-2.6585204,3.4692958,0.4806986,-0.31114,-0.06544,-0.36364,upstairs
-1.33961,1.5998386,-0.082030476,-0.23243999999999998,0.18662,0.00624,upstairs
-0.656558,0.246859372,-0.5460088,-0.25147998,0.40123996,-0.22031998000000003,upstairs
-0.80302596,0.84637994,-0.52056188,-0.10022,0.40590000000000004,0.0663,upstairs
-1.03180372,1.8356675,-0.28832838,0.195219994,0.42256,0.54351998,upstairs
-1.01344288,0.98991584,-0.2225993,0.1816,0.26622,0.5154,upstairs
-1.33255888,0.26169466,-0.2617994,-0.137319994,-0.027699997999999997,0.15128,upstairs
-1.822752,0.45601964,-0.2635447,0.1086,0.08793999599999999,0.2878,upstairs
-1.7611768,0.30721286,-0.29115582,0.24853999999999998,0.19041999999999998,0.281,upstairs
-1.74410748,0.69422216,-0.37199948,-0.0027199998,0.30356,0.38267998,upstairs
-1.4159856,1.7081886,-0.41706386,-0.25944,0.27166,0.4328,upstairs
-0.912877,1.0632546,-0.66888,-0.22502,0.16682,0.39529998,upstairs
0.7714355,1.5158534,-0.7748564,-0.29916,0.00286,0.126319992,upstairs
1.8557388,0.77066756,-0.9328785,-0.43227995999999996,-0.051680000000000004,0.12198,upstairs
3.343597,-0.7793244,-1.1863352,-0.35681998,-0.167259992,0.08771999999999999,upstairs
5.7912818,-1.9323238,-1.3688966,-0.074219996,-0.30514,0.092399996,upstairs
8.168594,-4.1397114,-1.60106028,0.26968000000000003,-0.6199399999999999,0.18656,upstairs
9.0733032,-6.3940486,-2.241282,0.34798,-1.4806,0.34108,upstairs
7.7811666,-2.1805794,-2.084342,0.034199997999999995,-1.9551199000000001,0.34786,upstairs
5.599086,2.7147548,0.009773844,0.11101999199999998,-1.7323799999999998,0.80976,upstairs
5.8683906,0.9318313,0.45944046,0.39327998000000003,-1.0615999999999999,0.20523998,upstairs
7.7860884,-3.8874764,-0.3398854,0.30121998,-0.62088,0.8633200000000001,upstairs
9.9091072,-8.5593386,-1.07463408,0.07662,-0.44844,1.4206400000000001,upstairs
10.472848,-7.4389424,-1.774162,-0.04428,-0.78318,1.45901994,upstairs
7.371747,-2.6887496,-2.4369336,-0.05958,-1.00582,1.74024,upstairs
7.6678596,-1.4495658,-2.3304334,-0.86032,-1.5948600000000002,1.3820000000000001,upstairs
8.2957248,-4.8445454,-2.3831424,-0.8128,-1.53574,-0.67552,upstairs
6.3386168,-4.3826614,-2.6187618,-0.19081999,-0.51302,-1.9053,upstairs
4.731762,-4.1957364,-2.5986206,0.10316,-0.44154,-2.2699000000000003,upstairs
3.1992932,-3.925804,-2.5078288,0.24994,-0.50931998,-0.05166,upstairs
2.1176776,-3.7010054,-2.0989678,0.63929996,-0.38948,0.6540600000000001,upstairs
1.1765264,-2.810783,-1.2662015,0.518,-0.199239994,0.00394,upstairs
0.6260496,-1.50415968,-0.41961206,-0.43556,-0.091319996,-1.02406,upstairs
0.29115582,-0.081053094,0.114982292,-0.8338599999999999,0.10458,-1.75808,upstairs
-0.48799404,0.5566902,0.88753486,-0.9084199999999999,0.72026,-1.4201799400000001,upstairs
-1.1862654,0.3630285,1.96496152,-0.42785998000000003,1.38334,-1.55836,upstairs
-1.5157836,-0.122731552,2.9142808,-0.33142,1.2327,-1.40225992,upstairs
-2.1580646,-0.898321,3.5090892,-0.60884,0.72672,-1.44992,upstairs
-3.4838168,0.45738098,4.0770894,-0.56166,0.48606,-1.10046,upstairs
-2.9818602,4.6369558,3.5807872,-0.44565998,0.5644,-0.75414,upstairs
-3.3681712,2.095198,1.555577,-0.34784000000000004,0.62553998,-0.66396,upstairs
-3.405277,-1.95358192,1.4374532,-0.38544,0.3988,-0.36541998000000003,upstairs
-5.0011364,6.5622634,4.20387,-0.57976,0.104919994,0.13712,upstairs
-4.3495,3.651159,4.2091408,-0.3928,-0.023179999,0.10644,upstairs
-4.152138,2.7428548,3.067905,-0.27805998,-0.035999998,0.036859998,upstairs
-4.3991374,2.7202004,2.8035922,-0.31583998,0.039859998,0.08448,upstairs
-4.419418,3.6409314,2.7521398,1.2832000000000001,0.14218,1.67036,upstairs
-4.5783476,4.3967286,2.4698154,2.32076,-1.2205,-1.6238199999999998,upstairs
-4.6269026,3.7549712,2.0022416,-0.08296,-1.8449798000000002,2.6135197999999997,upstairs
-4.8152586,2.8708572,1.34763848,-2.2793,-0.9469799999999999,-0.7035,upstairs
-4.9113564,1.44143248,0.7096858,0.61313996,0.11316,-0.57928,upstairs
-4.69518,1.554495,0.53037066,0.094579994,-0.15383999399999998,-0.66363998,upstairs
-4.446261,1.843312,0.40861648,-0.44844,-0.66749998,-0.54811998,upstairs
-4.381056,1.43651068,0.35185838,-0.56372,-0.88365994,-0.17091999,upstairs
-4.3048196,1.75999,0.44121924,-0.0477,-0.72404,-0.41092000000000006,upstairs
-4.2429304,2.4520828,0.578821,0.3355,-0.27231998,-0.38527999999999996,upstairs
-3.937323,2.9619982,0.4218461,0.21027999999999997,0.29371998,-0.5797,upstairs
-3.5585518,3.7010054,0.26110124,-0.17074,0.31322,-0.40052000000000004,upstairs
-3.293541,3.623862,0.5350132,-0.39575998,0.108439994,-0.16644,upstairs
-2.706168,2.6034028,0.37814304,-0.15294000000000002,0.039159998,-0.23146,upstairs
-1.7668318,1.67275846,-0.0060039326,-0.18826,0.08454,-0.21629998,upstairs
-1.114253,0.98684406,-0.37615334,-0.21216,0.28323998,0.058919995999999995,upstairs
-0.979025,0.061470498,-0.60297632,-0.024479998,0.41173995999999996,0.21283997999999998,upstairs
-0.98038632,-0.5356066,-0.49902454,0.192619992,0.47734,0.39264,upstairs
-0.85971426,0.10513864,-0.18570304,0.10042,0.28356,0.38367998000000003,upstairs
-1.072051,0.79443896,0.050928708,0.01642,0.025140000000000003,0.18856,upstairs
-1.5756134,0.8737816,0.027715828,0.26248,0.04184,0.34394,upstairs
-1.8953228,0.55655056,-0.06593854,0.35105998,0.1403,0.48696,upstairs
-1.62685632,0.39521236,-0.29433232,0.23222,0.30612,0.3672,upstairs
-1.2672137,0.87130326,-0.5120796,-0.072999996,0.26188,0.23954,upstairs
-1.1897211,0.9491798,-0.96307266,-0.54372,0.07248,0.54522,upstairs
-0.21942278,1.3045638,-1.0424154,-0.7259199599999999,-0.10351999999999999,0.69322,upstairs
1.0699916,1.0084862,-1.081755,-0.4591,-0.017279998999999997,0.21167998,upstairs
2.4969728,-0.66493552,-1.3332222,-0.177899992,0.048839998,-0.27461998,upstairs
4.5334578,-1.98011088,-1.44261932,0.10654,-0.29364,-0.38395998,upstairs
