,class,rotationRate.x_mean,rotationRate.x_std,rotationRate.x_range,rotationRate.x_IRQ,rotationRate.y_mean,rotationRate.y_std,rotationRate.y_range,rotationRate.y_IRQ,rotationRate.z_mean,rotationRate.z_std,rotationRate.z_range,rotationRate.z_IRQ,userAcceleration.x_mean,userAcceleration.x_std,userAcceleration.x_range,userAcceleration.x_IRQ,userAcceleration.y_mean,userAcceleration.y_std,userAcceleration.y_range,userAcceleration.y_IRQ,userAcceleration.z_mean,userAcceleration.z_std,userAcceleration.z_range,userAcceleration.z_IRQ,rotationRate.xX#1,rotationRate.xX#2,rotationRate.xX#3,rotationRate.xX#4,rotationRate.xX#5,rotationRate.xP#1,rotationRate.xP#2,rotationRate.xP#3,rotationRate.xP#4,rotationRate.xP#5,rotationRate.yX#1,rotationRate.yX#2,rotationRate.yX#3,rotationRate.yX#4,rotationRate.yX#5,rotationRate.yP#1,rotationRate.yP#2,rotationRate.yP#3,rotationRate.yP#4,rotationRate.yP#5,rotationRate.zX#1,rotationRate.zX#2,rotationRate.zX#3,rotationRate.zX#4,rotationRate.zX#5,rotationRate.zP#1,rotationRate.zP#2,rotationRate.zP#3,rotationRate.zP#4,rotationRate.zP#5,userAcceleration.xX#1,userAcceleration.xX#2,userAcceleration.xX#3,userAcceleration.xX#4,userAcceleration.xX#5,userAcceleration.xP#1,userAcceleration.xP#2,userAcceleration.xP#3,userAcceleration.xP#4,userAcceleration.xP#5,userAcceleration.yX#1,userAcceleration.yX#2,userAcceleration.yX#3,userAcceleration.yX#4,userAcceleration.yX#5,userAcceleration.yP#1,userAcceleration.yP#2,userAcceleration.yP#3,userAcceleration.yP#4,userAcceleration.yP#5,userAcceleration.zX#1,userAcceleration.zX#2,userAcceleration.zX#3,userAcceleration.zX#4,userAcceleration.zX#5,userAcceleration.zP#1,userAcceleration.zP#2,userAcceleration.zP#3,userAcceleration.zP#4,userAcceleration.zP#5
0,jogging,0.013867725981681803,4.139309975815343,14.399594911250045,7.528077947207395,0.8118411630736061,2.3504719808105663,13.133220321000035,2.9684587029125087,0.16648409517387586,1.1877316354366476,4.795038972875014,1.9289953398937554,0.11643227012329052,0.6270596571927566,3.831460455900011,0.6898662422531268,-0.16826262224997243,1.563030478214728,6.293623382875018,2.5212443520906325,-0.022843898124964578,1.0379534607090994,4.888103396625015,1.5093360111375045,0.00046875,0.001015625,0.001484375,0.001796875,0.00203125,533.1412304706887,238.86825573449673,213.38204504804716,39.05783510633955,134.0030237844159,0.00015625,0.00046875,0.00078125,0.001015625,0.001171875,78.90618666334314,202.4401034590642,67.75028214510529,92.93969853345916,41.08071750678996,0.00046875,0.000625,0.000859375,0.00109375,0.00125,134.36275165170528,16.89131435750966,21.052682164447294,27.97704484829748,37.73006076030189,0.00046875,0.000625,0.001015625,0.001171875,0.001328125,44.94878272935264,13.737304161537708,38.23893997065034,16.538098710994852,17.092473349298036,0.00046875,0.001015625,0.001484375,0.001875,0.00203125,37.15338277221458,187.84776366162745,92.0251861910044,10.940412419699468,29.837305742440765,0.00046875,0.0009375,0.001484375,0.00203125,0.002421875,98.46140357673441,60.7725215220163,97.56588622234386,27.72356091400259,6.775763467983408
1,jogging,0.26628275001367274,4.390706821161689,14.311621156625044,8.371193997368774,0.6705590771259786,2.7864060154301606,13.518686800500038,3.624914078687511,-0.011518419409355524,1.2718093909710873,5.838435891625018,1.868911920287506,0.007163888131835938,0.7471863779025555,3.984922195947512,0.7875000895375023,-0.302735849093458,1.6510105636359802,6.426379443500018,2.862963461312509,0.08491244326361357,1.2091874245959258,5.977208841575017,1.8097988053125054,7.8125e-05,0.00046875,0.0009375,0.001484375,0.00203125,36.51623136804579,471.8722949747703,353.7013479996526,276.84336043584193,109.16223406914327,0.00046875,0.0009375,0.001171875,0.001328125,0.001484375,216.1506716851768,211.53537998802906,24.209342125816374,32.26776156164629,163.9495822489578,0.00015625,0.00046875,0.000703125,0.0009375,0.001171875,16.44916417707982,159.63250872542943,20.62758360089622,87.65075831861753,33.61083088144063,0.00046875,0.0009375,0.001484375,0.001640625,0.00203125,41.052238925862135,70.36545718950518,25.77921543357578,8.8544405713095,51.484214982874654,0.000390625,0.0009375,0.001484375,0.00203125,0.003046875,42.2280057380942,218.4451001690047,119.02631855734799,27.819673531262648,21.776266676045626,0.00046875,0.000625,0.0009375,0.001484375,0.001796875,98.25050531602142,31.11121201245359,73.57980026424447,141.6120118396804,13.839188087723523
2,jogging,0.2452508270088876,4.449528170085194,14.847873319250045,8.098964851093774,-0.9181128326114286,2.9177497270277275,14.039421152500042,4.52991312970314,0.4672022180393569,1.5828796509367884,8.400280791875025,2.1691496014406315,-0.07191161878535181,0.6437193667891036,2.841972497212508,0.8985162080312528,-0.27661258788867277,1.523801138338944,6.060478418000018,2.5785810670312577,-0.10076559122314482,1.2640980033483036,5.454899571862516,1.9292753621343808,7.8125e-05,0.000234375,0.000390625,0.0009375,0.00125,109.73667019577579,88.98649589602924,380.6505876090498,406.53116505982416,60.03234828421839,0.000234375,0.00046875,0.000625,0.0009375,0.001484375,71.76235689010271,146.65072258210395,54.68755470479962,167.62487223264404,139.263554617636,0.000390625,0.00078125,0.001328125,0.001484375,0.00171875,146.68144574806263,59.22965102572431,21.03051982150281,32.6251561194689,19.73800783383159,0.00046875,0.000625,0.0009375,0.001171875,0.00140625,40.39894992710934,12.121692125770796,30.305184039758473,12.919603030130629,31.837992175272337,0.00046875,0.000703125,0.0009375,0.001171875,0.001484375,34.734816879763926,17.744731843682384,232.6390343396532,27.45728680062945,89.43417178457734,0.000234375,0.000390625,0.0009375,0.001484375,0.001796875,22.201592548840882,92.70386476310067,99.58314936703701,112.28893038181636,19.967055930696464
3,jogging,0.3053799288202158,4.7032804466172164,15.745399914500045,9.096918555412529,1.7386926349224665,2.81211395986346,13.693955876250037,3.8527893631250136,0.07631877112612329,1.4951934275423953,8.040518242750023,1.8563560412500055,0.21806354411875073,0.7615378212838056,4.099758242087511,1.0076846607875027,-0.25967622228369225,1.6972704017187779,7.212983005000021,2.788522366081258,0.1200878960925785,1.2423066241865512,5.184063769600015,1.9298777045750055,7.8125e-05,0.000234375,0.00046875,0.0009375,0.00109375,51.453045153075294,109.81574803932627,474.3841575050871,421.28128044209296,59.44256880094337,7.8125e-05,0.000234375,0.00046875,0.000625,0.0009375,177.66173843320917,86.05938660661285,245.76777204322488,80.97154740968614,128.5921435092682,7.8125e-05,0.000234375,0.00046875,0.000625,0.00078125,66.880478848085,92.75536794339956,92.71742411432325,67.38088236290105,52.500355559924955,7.8125e-05,0.000234375,0.00046875,0.0009375,0.00109375,28.366202546001436,21.336270267644476,37.602918801057626,79.07578471495616,35.25994287518516,0.00046875,0.00078125,0.0009375,0.001171875,0.001484375,46.42391101856041,22.92757538451894,234.27107827307904,38.27737284065604,135.77049182561615,7.8125e-05,0.00046875,0.00078125,0.0009375,0.00109375,17.99269216137085,98.44145812240407,19.728449569502647,77.4781193850199,12.271321461173907
4,jogging,0.5005281993056656,4.6049372004111495,16.50451683025005,8.406403883675024,-1.2027006801206093,3.0193787744548253,14.12885570825004,4.530647042031266,0.3796608006908703,1.777416665474508,8.211927495750025,2.5190383831812575,-0.23659364353199294,0.6915126517425678,3.006047784175008,0.8886315252130647,-0.3346641351121104,1.6993852989160152,7.074772716625022,2.7579993509062586,-0.006937137705664065,1.3214519122157264,5.370180810000017,2.0634022252500053,0.00015625,0.00046875,0.0009375,0.001171875,0.001484375,92.04939024944417,436.7910925679235,413.6326724715437,56.86619272614261,182.64090248655472,0.00046875,0.0009375,0.001171875,0.001484375,0.001953125,168.5684213112447,149.0284483755009,88.53746154346432,118.63478457524154,154.26187112980608,7.8125e-05,0.00046875,0.00078125,0.0009375,0.00125,86.16220309653592,172.95299977078798,74.2706076957012,92.47464154254382,18.95390884543904,0.00046875,0.00078125,0.0009375,0.001484375,0.001796875,44.16521026710726,23.2750994676306,59.33405671511934,26.37379954172275,10.676839478576674,7.8125e-05,0.00046875,0.0009375,0.001484375,0.00171875,15.862014226865227,40.29749359014012,240.4736739473225,106.09688359030902,18.888992666352834,7.8125e-05,0.00046875,0.0009375,0.00109375,0.001484375,18.670514172575903,101.88535087707649,104.03673060638496,14.628802438974496,116.71415151404665
5,jogging,0.12219617926660192,4.6645040562535085,15.249066702500048,8.929688346625028,1.1114241472179724,2.462065113002374,11.374911869075035,3.5611489234578224,0.1407806657813481,1.1192221273437302,4.196434686750012,1.9255724670218806,0.19899475385664128,0.653356552196783,3.5936683726375103,0.6383866948125017,-0.2278815422255867,1.8048723838488525,7.07781205650002,2.9899340252187585,0.07043855491718773,1.3098073045830263,5.619991423750017,2.042573011906256,0.00046875,0.000703125,0.0009375,0.001484375,0.001796875,476.45318143276427,99.56968503249406,399.37903194354516,228.02851478623717,38.210738432543344,0.00046875,0.00078125,0.0009375,0.001484375,0.001640625,188.7569301316995,61.89028210341057,126.0579868628147,112.68945752405536,20.96469669698761,0.00015625,0.000390625,0.000625,0.0009375,0.001171875,32.448646013313606,114.89209704612954,23.274693932541737,62.113690770974614,19.83914603112626,0.00046875,0.0009375,0.001171875,0.00140625,0.0015625,41.557390929843244,73.25472645984188,9.191050268480426,27.237475752425574,19.708621376976815,0.00046875,0.0009375,0.00125,0.001484375,0.001953125,47.812141439989084,274.70751798348,26.053890684966696,109.8811518806921,31.95248233745812,0.00015625,0.00046875,0.000703125,0.0009375,0.00125,15.144163564869462,100.52497617539126,27.129937200569117,84.1691975433781,36.232917332223984
6,jogging,0.2850662644023446,4.825222808255913,15.971042112750048,9.31306570481253,0.5397459003144548,2.871417371630039,14.359895468750043,3.8796256456250116,-0.07668688243212915,1.3951603846689729,6.78981814525002,2.1193235904656316,-0.07428051886523462,0.7058302708662312,3.857305440375011,0.9007567266250018,-0.3233495985952159,1.7098250440013796,6.72205434350002,2.837066484568758,-0.07088598748847677,1.3101076414137083,5.894428689250017,1.997232090968756,7.8125e-05,0.00046875,0.00078125,0.0009375,0.00125,40.2671285872967,471.1032635228183,112.88730601838941,441.6663856607273,72.68943312935217,0.00015625,0.00046875,0.000703125,0.0009375,0.00140625,75.51027590114217,281.1218367587393,66.81810129865673,143.7723058080618,92.24805638277724,0.00046875,0.0009375,0.00109375,0.001484375,0.001640625,149.506080758411,89.98145742535806,37.44903296421901,67.17937521287254,17.201615627633,0.000234375,0.00046875,0.0009375,0.001171875,0.0015625,11.469388979330509,31.783118124269524,61.57571342933248,15.420014004623608,24.70580782632455,0.00046875,0.0009375,0.001484375,0.001953125,0.0021875,44.81062074539582,246.93225220351138,130.08188594049614,23.10861055403159,13.715087972765286,0.00046875,0.000703125,0.0009375,0.001171875,0.001484375,103.45609970642307,22.745827841679258,93.50063445410498,19.88391994215252,134.80633757625728
7,jogging,0.29454198629111417,4.7704960167896155,16.967882368750054,8.626441791531274,-0.6960135354033226,3.4329506134350716,16.68323428665005,5.007516688887517,0.5725069482425995,1.5698559496674462,8.737561135250026,2.140893898303132,0.019792299389062573,0.7260953746105835,3.5648695875000103,1.0446579200375035,-0.3251104639575206,1.80785188669871,6.99168246262502,2.9137943560937587,0.12204482522168007,1.3308996286378476,5.805745561500016,2.055042474178131,0.00046875,0.0009375,0.001484375,0.00171875,0.001953125,525.4017715545124,374.7151803222824,284.1498130002152,78.16943937121351,99.9063551752773,0.00046875,0.0009375,0.001328125,0.001484375,0.001953125,268.6296264505259,160.36848184813135,49.482762596272536,146.40688395264868,153.00843659171935,0.000390625,0.000859375,0.001015625,0.00125,0.001484375,150.24807360958437,50.869501534131146,74.14396653062369,41.611533304482464,82.90189136985619,0.00046875,0.001015625,0.001328125,0.001484375,0.001640625,48.31560526161092,38.34161779595449,10.9323586159623,18.960339657641683,24.590324102720675,0.00046875,0.0009375,0.001171875,0.001328125,0.001484375,62.46746810033905,247.35704973083034,19.185269276144354,32.4587289505636,133.23016109709113,7.8125e-05,0.00046875,0.000703125,0.0009375,0.001328125,27.11807856313271,101.4086309844555,22.544945977423513,88.34085190205626,42.4306021431832
8,jogging,-0.14100475241625285,4.585693412339985,16.50999630375005,8.463122599812525,1.2067599746120983,2.927914137028499,13.56413652075004,4.181866987062515,0.014953129784712443,1.4075482188032569,6.805550902750021,1.9297763065000062,0.01179097934853078,0.523276974674027,3.2832995621612593,0.6777935433343774,-0.3185030577826271,1.6494319258205146,6.681597515875019,2.607070368000008,0.10999168243300224,1.2626699049756647,5.253530034500016,1.8739497864687555,0.00046875,0.00078125,0.0009375,0.00125,0.001484375,469.71565300689997,86.71921551467155,382.61991053667316,106.30673636792034,227.96434311872545,0.00015625,0.000390625,0.00078125,0.0009375,0.00109375,106.63398855493003,218.83575867978786,46.97197090007183,95.843473671708,76.21717696407866,7.8125e-05,0.000234375,0.000390625,0.000546875,0.000859375,57.527686424911316,41.06614830206411,106.00246941182336,103.96845479359781,51.7668189428753,0.0003125,0.00046875,0.000625,0.000859375,0.001015625,18.569405234830047,28.24267530760712,12.742719674016357,14.034579046814459,23.84052221256105,0.00046875,0.0009375,0.00125,0.001484375,0.001640625,34.97457666598408,250.8505476489632,34.709124045280234,108.76170375064976,15.454048427342828,0.00046875,0.0009375,0.00125,0.001484375,0.001796875,96.03022058265708,66.47104797537777,33.67355608862846,113.20203181599575,15.331729598139004
9,jogging,-0.5374607835664079,4.67460890490872,16.07710213375005,8.573079530062525,0.1964052615209967,3.245355667354697,14.921259603000046,4.282989744553138,-0.045728928754443524,1.5171425821927271,6.81824786475002,2.2151834540062563,0.08923827511318388,0.6462383692345783,2.908014730922509,0.8607170344375024,-0.3306247643354503,1.7521790897036245,6.66372813325002,2.9713278168437594,0.17964303924414118,1.4004067389815835,5.8825038418750175,2.3042523922937557,0.00046875,0.0009375,0.001328125,0.001484375,0.00171875,475.9102105128257,367.52663936718477,52.56212713097506,277.06586226284674,25.841501107188414,7.8125e-05,0.000234375,0.000390625,0.000625,0.00078125,210.11468860865764,129.304984443588,230.40156870329128,62.46132196595136,48.794936232261186,7.8125e-05,0.00046875,0.000703125,0.00109375,0.00125,43.931335651105066,179.4546636999889,60.18674890395366,56.22261764109033,39.60160958979266,0.000390625,0.000703125,0.001015625,0.00125,0.001484375,27.141462036582315,9.8590372351958,25.255777658996404,25.051436950479655,32.78648464742043,0.00046875,0.0009375,0.001171875,0.001484375,0.001640625,32.318683217147566,254.42331545741936,21.68508335558685,128.66213832615648,23.434749396666913,7.8125e-05,0.00046875,0.0009375,0.001484375,0.00171875,13.354323256652258,135.46863123259016,71.08597196122683,142.4838496485564,14.087984466117653
